Title:,Estimated abstractions from tidal waters by purpose and Environment Agency region:  2000 - 2010,,,,,,,,,,
Year:,2000 - 2010,,,,,,,,,,
Geography:,"Environment Agency Regions, England and Wales",,,,,,,,,,
Units:,Ml/day,,,,,,,,,,
Source:,Environment Agency (EA),,,,,,,,,,
URL:,http://www.defra.gov.uk/statistics/environment/inland-water/,,,,,,,,,,
Copyright:,Copyright of data and/or information presented or attached in this document may not reside solely with this Department.,,,,,,,,,,
Nat. Statistic:,No,,,,,,,,,,
Custodian,"Sustainable Products and Procurement, Department for Environment, Food and Rural Affairs, Area 6E Ergon House, 17 Smith Square, London SW1P 3JR, 08459 33 55 77",,,,,,,,,,
Contact:,enviro.statistics@defra.gsi.gov.uk,,,,,,,,,,
Release Date:,May-12,,,,,,,,,,
Notes,(a),Increase in electricity supply abstraction [power station] in 2002,,,,,,,,,
,(b),Increased electricity supply abstraction in 2002 due to issue of two new abstraction licences,,,,,,,,,
,(c),Reduced electricity supply abstraction [power station] in 2004,,,,,,,,,
,(d),Abstraction trial in 2004,,,,,,,,,
,(e),Reduced electricity supply abstraction [power station] in 2004,,,,,,,,,
,(f),Several licences changed from surface water to tidal in 2006,,,,,,,,,
,(g),Reduced abstraction in 2008 from one power station ,,,,,,,,,
,(h),One licence re-assigned to 'Electricity supply' from 'Other industry' in 2008,,,,,,,,,
,(i),New licence issued,,,,,,,,,
,(j),Reduced abstraction from a number of power stations,,,,,,,,,
,(k),Reduced abstraction from a power station,,,,,,,,,
,,,,,,,,,,,
England and Wales,,,,,,,,,,,
,,Year,Public water supply,Spray irrigation,Agriculture (excl. spray irrigation),Electricity supply industry,Other industry,"Fish farming, cress growing, amenity ponds",Private water supply,Other,Total
,,,,,,,,,,,
England and Wales,,2000,0,0,0,17628,993,0,0,3,18625
,,2001,0,0,0,16901,1178,0,0,6,18085
,"(a),(b)",2002,0,0,0,20301,1440,0,0,0,21742
,,2003,0,0,0,19204,1992,0,1,0,21199
,"(c),(e)",2004,2,0,0,18996,2027,0,0,0,21025
