Title:, Estimated abstractions from all sources except tidal by purpose and Environment Agency  region:  2000 - 2010,,,,,,,,,,
Year:,2000 - 2010,,,,,,,,,,
Geography:,"Environment Agency Regions, England and Wales",,,,,,,,,,
Units:,Ml/day,,,,,,,,,,
Source:,Environment Agency (EA),,,,,,,,,,
URL:,http://www.defra.gov.uk/statistics/environment/inland-water/,,,,,,,,,,
Copyright:,Copyright of data and/or information presented or attached in this document may not reside solely with this Department.,,,,,,,,,,
Nat. Statistic:,No,,,,,,,,,,
Custodian,"Sustainable Products and Procurement, Department for Environment, Food and Rural Affairs, Area 6E Ergon House, 17 Smith Square, London SW1P 3JR, 08459 33 55 77",,,,,,,,,,
Contact:,enviro.statistics@defra.gsi.gov.uk,,,,,,,,,,
Release Date:,May-12,,,,,,,,,,
Notes:,(a),Three licences re-assigned in 2003 to 'Other industry' from 'Electricity supply',,,,,,,,,
,(b),No returns received for private water supply licences in 2002 and 2003 led to over estimate in figures,,,,,,,,,
,(c),Increased number of returns in 2004 received for fish farming licences in South Wessex Area,,,,,,,,,
,(d),Reduced abstraction in 2004 at a number of power stations (hydropower),,,,,,,,,
,(e),Reduced hydropower abstraction in 2005,,,,,,,,,
,(f),Several licences in 2006 changed from surface water to tidal,,,,,,,,,
,(g),Increased hydropower abstraction in 2006,,,,,,,,,
,(h),Reduced actual abstraction in 2008 in Thames region for mineral/extractive industry and reduction in one significant licence,,,,,,,,,
,(i),Reduced mechanical non-electrical power abstraction in 2010,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,megalitres/day
,,Year,Public water supply,Spray irrigation,Agriculture (excl. spray irrigation),Electricity supply industry,Other industry,"Fish farming, cress growing, amenity ponds",Private water supply,Other,Total
,,,,,,,,,,,
England and Wales,,2000,16990,291,152,13918,4440,4709,102,556,41157
,,2001,16231,258,108,15361,3594,4657,92,103,40404
,,2002,16938,248,119,15146,3443,3215,54,77,39240
,(a),2003,16920,315,131,12173,4631,3077,60,86,37394
,(d),2004,17208,225,122,11573,4558,4068,30,77,37860
,(e),2005,17370,226,60,9998,4194,3654,26,60,35588
,,2006,17004,277,47,10364,3729,3622,37,86,35166
,,2007,16381,161,72,10304,2736,3412,29,113,33208
,,2008,16241,156,37,12307,2995,2850,24,74,34685
,,2009,15782,233,43,11376,3404,2610,27,74,33550
,,2010,16315,285,68,11893,2437,2899,24,56,33977
,,,,,,,,,,,
North West,,2000,1451,4,6,360,1055,67,0,18,2962
,,2001,1416,13,5,573,892,89,0,16,3004
,,2002,1400,23,4,189,736,76,0,9,2438
,,2003,1602,26,7,589,789,112,0,10,3136
,,2004,1646,7,15,675,763,98,0,8,3212
,,2005,1591,8,3,582,754,56,0,8,3003
,,2006,1504,3,5,609,777,88,0,6,2992
,,2007,1544,2,6,812,500,41,0,5,2910
,,2008,1482,1,3,694,496,29,0,2,2708
,,2009,1303,4,5,708,497,22,0,4,2543
,,2010,1379,5,5,964,477,27,1,1,2860
,,,,,,,,,,,
North East,,2000,2132,17,28,2925,727,166,6,1,6003
